,cnyesId,nav,forSale,change,fundYesId,investmentArea,categoryAbbr,prevPrice,displayNameLocal,priceDate,inceptionDate,lastUpdate,classCurrencyLocal,changePercent,return1Month,displayNameLocalWithKwd,forSaleUrl,fundTags,portfolio_errors
0,"B16,009",29.87,1,-0.46,B16009,歐洲(含歐元區),歐洲股票,30.33,景順全歐洲企業基金A股 歐元,1614268800,662745600.0,1614268800,歐元,-1.52,3.42798,0,https://www.anuefund.com/Redr/Redr.aspx?FundID=B16009,"[{'promoteName': '景順全系列0申購手續費', 'promoteDescription': '景順全系列單筆及定期定額2021/03/31前扣款申購0手續費', 'startAt': 1609689600, 'endAt': 1617120000, 'handlingFeePercent': None, 'iconName': '０手續費', 'iconSymbol': '＄', 'darkColor': '#FFB43E', 'lightColor': '#FFD086'}]","{""message"":""Token not found"",""status_code"":400}"
1,"B16,013",19.66,1,-0.32,B16013,歐洲(含歐元區),歐洲股票,19.98,景順泛歐洲基金A股 歐元,1614268800,662659200.0,1614268800,歐元,-1.6,2.55608,0,https://www.anuefund.com/Redr/Redr.aspx?FundID=B16013,"[{'promoteName': '景順全系列0申購手續費', 'promoteDescription': '景順全系列單筆及定期定額2021/03/31前扣款申購0手續費', 'startAt': 1609689600, 'endAt': 1617120000, 'handlingFeePercent': None, 'iconName': '０手續費', 'iconSymbol': '＄', 'darkColor': '#FFB43E', 'lightColor': '#FFD086'}]","{""message"":""Token not found"",""status_code"":400}"
2,"B16,019",102.58,1,-5.26,B16019,全球市場,產業股票 - 消費品及服務,107.84,景順環球消費趨勢基金A股 美元,1614268800,781113600.0,1614268800,美元,-4.88,-0.08766,0,https://www.anuefund.com/Redr/Redr.aspx?FundID=B16019,"[{'promoteName': '景順全系列0申購手續費', 'promoteDescription': '景順全系列單筆及定期定額2021/03/31前扣款申購0手續費', 'startAt': 1609689600, 'endAt': 1617120000, 'handlingFeePercent': None, 'iconName': '０手續費', 'iconSymbol': '＄', 'darkColor': '#FFB43E', 'lightColor': '#FFD086'}, {'promoteName': '定投致勝，日日高效投資！', 'promoteDescription': '月配息/債券型/平衡型0手續費，股票型終身0.3手續費！', 'startAt': 1609430400, 'endAt': 1640880000, 'handlingFeePercent': None, 'iconName': '定投王', 'iconSymbol': '＃', 'darkColor': '#E03F19', 'lightColor': '#FF7A5A'}, {'promoteName': '晨星評等', 'promoteDescription': '基金的報酬、風險及費用三個面向發展出的晨星星等評級，評級結果由最高5顆星到最低1顆星', 'startAt': 1556640000, 'endAt': 2524492800, 'handlingFeePercent': None, 'iconName': '晨星５星', 'iconSymbol': '★', 'darkColor': '#54B5C6', 'lightColor': '#70D0E1'}]","{""message"":""Token not found"",""status_code"":400}"
3,"B16,137",96.82,1,-3.19,B16137,中國/大中華,大中華股票,100.01,景順大中華基金A股 美元,1614268800,711129600.0,1614268800,美元,-3.19,-1.79531,0,https://www.anuefund.com/Redr/Redr.aspx?FundID=B16137,"[{'promoteName': '景順全系列0申購手續費', 'promoteDescription': '景順全系列單筆及定期定額2021/03/31前扣款申購0手續費', 'startAt': 1609689600, 'endAt': 1617120000, 'handlingFeePercent': None, 'iconName': '０手續費', 'iconSymbol': '＄', 'darkColor': '#FFB43E', 'lightColor': '#FFD086'}, {'promoteName': '晨星評等', 'promoteDescription': '基金的報酬、風險及費用三個面向發展出的晨星星等評級，評級結果由最高5顆星到最低1顆星', 'startAt': 1556640000, 'endAt': 2524492800, 'handlingFeePercent': None, 'iconName': '晨星４星', 'iconSymbol': '★', 'darkColor': '#54B5C6', 'lightColor': '#70D0E1'}]","{""message"":""Token not found"",""status_code"":400}"
4,"B23,258",5.6288,0,-0.0484,,亞洲地區,亞洲債券,5.6772,施羅德環球基金系列－亞洲債券(美元)A-月配浮動,1614268800,908467200.0,1614268800,美元,-0.85,-1.79423,0,,[],"{""message"":""Token not found"",""status_code"":400}"
5,"B23,204",15.2791,0,-0.1315,,亞洲地區,亞洲債券,15.4106,施羅德環球基金系列－亞洲債券(美元)A-累積,1614268800,948038400.0,1614268800,美元,-0.85,-1.79517,0,,[],"{""message"":""Token not found"",""status_code"":400}"
6,"B16,148",202.63,1,-7.67,B16148,亞洲地區,亞洲股票(不含日本),210.3,景順亞洲機遇股票基金A股 美元,1614268800,934128000.0,1614268800,美元,-3.65,-2.5911,0,https://www.anuefund.com/Redr/Redr.aspx?FundID=B16148,"[{'promoteName': '景順全系列0申購手續費', 'promoteDescription': '景順全系列單筆及定期定額2021/03/31前扣款申購0手續費', 'startAt': 1609689600, 'endAt': 1617120000, 'handlingFeePercent': None, 'iconName': '０手續費', 'iconSymbol': '＄', 'darkColor': '#FFB43E', 'lightColor': '#FFD086'}, {'promoteName': '晨星評等', 'promoteDescription': '基金的報酬、風險及費用三個面向發展出的晨星星等評級，評級結果由最高5顆星到最低1顆星', 'startAt': 1556640000, 'endAt': 2524492800, 'handlingFeePercent': None, 'iconName': '晨星４星', 'iconSymbol': '★', 'darkColor': '#54B5C6', 'lightColor': '#70D0E1'}]","{""message"":""Token not found"",""status_code"":400}"
7,"B23,263",17.5207,0,-0.5934,,全球新興市場,新興市場股票,18.1141,施羅德環球基金系列－新興市場(美元)A-年配浮動,1614268800,763142400.0,1614268800,美元,-3.28,-3.52941,0,,"[{'promoteName': '晨星評等', 'promoteDescription': '基金的報酬、風險及費用三個面向發展出的晨星星等評級，評級結果由最高5顆星到最低1顆星', 'startAt': 1556640000, 'endAt': 2524492800, 'handlingFeePercent': None, 'iconName': '晨星４星', 'iconSymbol': '★', 'darkColor': '#54B5C6', 'lightColor': '#70D0E1'}]","{""message"":""Token not found"",""status_code"":400}"
8,"B23,203",1349.4831,0,-20.931,,日本,日本股票,1370.4141,施羅德環球基金系列－日本股票(日圓)A-累積,1614268800,948038400.0,1614268800,日圓,-1.53,0.18539,0,,[],"{""message"":""Token not found"",""status_code"":400}"
9,"B23,210",21.6012,0,-0.7316,,全球新興市場,新興市場股票,22.3328,施羅德環球基金系列－新興市場(美元)A-累積,1614268800,948038400.0,1614268800,美元,-3.28,-3.52516,0,,"[{'promoteName': '晨星評等', 'promoteDescription': '基金的報酬、風險及費用三個面向發展出的晨星星等評級，評級結果由最高5顆星到最低1顆星', 'startAt': 1556640000, 'endAt': 2524492800, 'handlingFeePercent': None, 'iconName': '晨星４星', 'iconSymbol': '★', 'darkColor': '#54B5C6', 'lightColor': '#70D0E1'}]","{""message"":""Token not found"",""status_code"":400}"
10,"B23,265",8.8593,0,-0.0815,,全球新興市場,新興市場債,8.9408,施羅德環球基金系列－新興市場債券(美元)A-季配固定,1614268800,872784000.0,1614268800,美元,-0.91,-1.50533,0,,[],"{""message"":""Token not found"",""status_code"":400}"
11,"B23,211",28.9175,0,-0.2661,,全球新興市場,新興市場債,29.1836,施羅德環球基金系列－新興市場債券(美元)A-累積,1614268800,948038400.0,1614268800,美元,-0.91,-1.49944,0,,[],"{""message"":""Token not found"",""status_code"":400}"
12,"B23,426",7.6883,0,0.0116,,歐洲(含歐元區),歐元債券,7.6767,施羅德環球基金系列－歐元政府債券(歐元)C-年配浮動,1614268800,824400000.0,1614268800,歐元,0.15,-1.92369,0,,"[{'promoteName': '晨星評等', 'promoteDescription': '基金的報酬、風險及費用三個面向發展出的晨星星等評級，評級結果由最高5顆星到最低1顆星', 'startAt': 1556640000, 'endAt': 2524492800, 'handlingFeePercent': None, 'iconName': '晨星４星', 'iconSymbol': '★', 'darkColor': '#54B5C6', 'lightColor': '#70D0E1'}]","{""message"":""Token not found"",""status_code"":400}"
13,"B23,259",22.7911,0,-0.7286,,亞洲地區,亞洲股票(不含日本),23.5197,施羅德環球基金系列－亞洲優勢(美元)A-年配浮動,1614268800,751824000.0,1614268800,美元,-3.1,-0.64952,0,,"[{'promoteName': '晨星評等', 'promoteDescription': '基金的報酬、風險及費用三個面向發展出的晨星星等評級，評級結果由最高5顆星到最低1顆星', 'startAt': 1556640000, 'endAt': 2524492800, 'handlingFeePercent': None, 'iconName': '晨星４星', 'iconSymbol': '★', 'darkColor': '#54B5C6', 'lightColor': '#70D0E1'}]","{""message"":""Token not found"",""status_code"":400}"
14,"B16,005",1689.0,1,-41.0,B16005,日本,日本股票,1730.0,景順日本小型企業基金A股 日圓,1614268800,662745600.0,1614268800,日圓,-2.37,-4.95217,0,https://www.anuefund.com/Redr/Redr.aspx?FundID=B16005,"[{'promoteName': '景順全系列0申購手續費', 'promoteDescription': '景順全系列單筆及定期定額2021/03/31前扣款申購0手續費', 'startAt': 1609689600, 'endAt': 1617120000, 'handlingFeePercent': None, 'iconName': '０手續費', 'iconSymbol': '＄', 'darkColor': '#FFB43E', 'lightColor': '#FFD086'}]","{""message"":""Token not found"",""status_code"":400}"
15,"B23,427",13.815,0,0.021,,歐洲(含歐元區),歐元債券,13.794,施羅德環球基金系列－歐元政府債券(歐元)C-累積,1614268800,948038400.0,1614268800,歐元,0.15,-1.92598,0,,"[{'promoteName': '晨星評等', 'promoteDescription': '基金的報酬、風險及費用三個面向發展出的晨星星等評級，評級結果由最高5顆星到最低1顆星', 'startAt': 1556640000, 'endAt': 2524492800, 'handlingFeePercent': None, 'iconName': '晨星４星', 'iconSymbol': '★', 'darkColor': '#54B5C6', 'lightColor': '#70D0E1'}]","{""message"":""Token not found"",""status_code"":400}"
